,inf_latency,inf_latency,inf_throughput,inf_throughput,accuracy,accuracy,train_throughput,train_throughput,vram_mb,vram_mb,fwd_ms,bwd_ms
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean
implementation,,,,,,,,,,,,
cuda,17.709999999999997,0.24248711305964354,3614.0066666666667,50.383277318306114,60.9,4.181291666459062,656.4566666666666,0.9815463989712359,4538.52,0.0,18.036666666666665,79.39999999999999
cuda_opt,12.54,0.0173205080756893,5103.443333333334,5.257236282813465,63.336666666666666,1.9527501973712216,756.6566666666666,0.09504384952922097,4385.02,0.0,12.843333333333334,71.68333333333334
cuda_opt2,12.54,0.010000000000000231,5103.419999999999,3.5349257417945714,64.80666666666667,2.4871938672595157,987.94,0.3318132004606938,4385.02,0.0,13.07,51.663333333333334
reference,38.54333333333333,0.21825062046494817,1660.58,9.285316365100348,65.06333333333333,8.643068513747492,584.27,4.0877499923551985,3155.41,0.0,42.626666666666665,66.83666666666666
