,,train_throughput,train_throughput,vram_mb,fwd_ms,bwd_ms
,,mean,std,mean,mean,mean
wt_levels,implementation,,,,,
1,cuda,1340.4,0.5,3893.5,7.2,28.7
1,cuda_opt,1421.7,1.1,3669.0,5.6,27.5
1,cuda_opt2,2064.7,2.1,3669.0,5.7,13.4
1,reference,1060.3,4.5,2808.4,32.2,28.0
2,cuda,1117.6,1.5,4197.0,8.3,37.1
2,cuda_opt,1220.6,1.2,3972.8,6.4,34.1
2,cuda_opt2,1768.5,1.2,3972.8,6.5,17.8
2,reference,666.2,2.8,3079.8,59.9,35.9
3,cuda,988.7,0.2,4537.5,9.5,43.4
3,cuda_opt,1091.1,0.5,4384.0,7.2,39.6
3,cuda_opt2,1539.6,0.2,4386.5,7.3,22.4
3,reference,516.8,1.9,3155.4,83.9,39.7
4,cuda,812.6,0.2,4833.1,12.5,54.4
4,cuda_opt,896.4,1.3,4833.2,9.4,50.1
4,cuda_opt2,1245.2,0.4,4833.3,9.5,30.0
4,reference,426.4,4.5,3185.5,106.6,43.2
