,,inf_latency,inf_latency,inf_throughput,inf_throughput,accuracy,accuracy
,,mean,std,mean,std,mean,std
wt_levels,implementation,,,,,,
1,cuda,6.26,0.02,10224.15,21.7,70.05,3.29
1,cuda_opt,4.81,0.02,13319.85,65.88,73.47,1.42
1,cuda_opt2,4.87,0.04,13124.91,90.64,74.97,1.35
1,reference,25.48,1.52,2517.72,156.0,73.04,0.96
2,cuda,7.37,0.04,8683.42,48.71,68.23,3.38
2,cuda_opt,5.69,0.03,11252.54,75.02,69.98,2.46
2,cuda_opt2,5.73,0.02,11181.1,37.31,73.15,2.17
2,reference,46.06,2.8,1392.94,84.71,73.43,1.39
3,cuda,8.51,0.03,7521.58,19.69,68.18,1.78
3,cuda_opt,6.35,0.02,10072.13,18.16,69.41,1.17
3,cuda_opt2,6.43,0.02,9953.15,28.6,69.39,3.8
3,reference,68.14,0.79,939.27,10.88,71.07,4.22
4,cuda,11.52,0.03,5555.01,18.58,64.35,2.17
4,cuda_opt,8.39,0.05,7626.55,37.47,67.38,1.29
4,cuda_opt2,8.45,0.02,7569.75,15.98,67.44,0.55
4,reference,87.58,4.17,731.85,35.63,70.71,1.67
